1,58,4.4469E7
2,41,6.2953E7
3,41,6.2953E7
4,41,6.2953E7
5,41,6.2953E7
6,40,64530000
clock (5ms) : 7,ADC : 40,Val_Res (Ohm)64530000
clock (5ms) : 8,ADC : 39,Val_Res (Ohm)6.6187E7
clock (5ms) : 9,ADC : 36,Val_Res (Ohm)7.1712E7
clock (5ms) : 10,ADC : 30,Val_Res (Ohm)8.6077E7
clock (5ms) : 11,ADC : 32,Val_Res (Ohm)80690000
clock (5ms) : 12,ADC : 126,Val_Res (Ohm)2.0411E7
clock (5ms) : 13,ADC : 155,Val_Res (Ohm)1.6571E7
clock (5ms) : 14,ADC : 241,Val_Res (Ohm)1.0619E7
clock (5ms) : 15,ADC : 56,Val_Res (Ohm)4.6061E7
clock (5ms) : 16,ADC : 27,Val_Res (Ohm)9.5653E7
clock (5ms) : 17,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 18,ADC : 228,Val_Res (Ohm)1.123E7
clock (5ms) : 19,ADC : 254,Val_Res (Ohm)1.007E7
clock (5ms) : 20,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 21,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 22,ADC : 254,Val_Res (Ohm)1.007E7
clock (5ms) : 23,ADC : 254,Val_Res (Ohm)1.007E7
24,254,1.007E7
clock (5ms) : 25,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 26,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
