clock (5ms),ADC,Val_Res (MOhm)
0,8,323.09
1,11,234.94455
2,12,215.35667
3,12,215.35667
4,11,234.94455
5,11,234.94455
6,10,258.45
7,10,258.45
8,10,258.45
9,11,234.94455
10,10,258.45
11,11,234.94455
12,11,234.94455
13,10,258.45
14,10,258.45
15,8,323.09
16,8,323.09
17,8,323.09
18,8,323.09
19,8,323.09
20,7,369.26143
21,7,369.26143
22,8,323.09
23,8,323.09
24,9,287.17889
25,8,323.09
26,9,287.17889
27,9,287.17889
28,9,287.17889
29,9,287.17889
30,8,323.09
31,9,287.17889
32,8,323.09
33,8,323.09
34,9,287.17889
35,9,287.17889
36,7,369.26143
37,8,323.09
38,9,287.17889
39,8,323.09
40,8,323.09
41,9,287.17889
42,8,323.09
43,8,323.09
44,8,323.09
45,8,323.09
46,8,323.09
47,8,323.09
48,8,323.09
49,8,323.09
50,8,323.09
51,8,323.09
52,8,323.09
53,8,323.09
54,8,323.09
55,8,323.09
56,7,369.26143
57,8,323.09
58,8,323.09
59,8,323.09
60,9,287.17889
61,8,323.09
62,8,323.09
63,8,323.09
64,8,323.09
65,8,323.09
66,8,323.09
67,8,323.09
68,8,323.09
69,8,323.09
70,8,323.09
71,8,323.09
72,8,323.09
73,8,323.09
74,9,287.17889
75,8,323.09
76,9,287.17889
77,8,323.09
78,8,323.09
79,8,323.09
80,9,287.17889
81,8,323.09
82,9,287.17889
83,8,323.09
84,8,323.09
85,8,323.09
86,8,323.09
87,9,287.17889
88,8,323.09
89,9,287.17889
90,9,287.17889
91,8,323.09
92,9,287.17889
93,9,287.17889
94,8,323.09
95,9,287.17889
96,8,323.09
97,8,323.09
98,9,287.17889
99,8,323.09
100,8,323.09
